                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.2815,                0.71667,                 1.0922,                0.89032,                      1,                  0.962,                0.63647,                 1.4127,                0.68831,                 1.1102,              0.0015982,              0.0015982,              0.0015982
                     53,                 1.2879,                0.70886,                 1.1115,                0.89288,                      1,                  0.984,                0.50734,                 1.5189,                0.66889,                 1.2341,              0.0015969,              0.0015969,              0.0015969
                     54,                 1.2422,                0.69258,                 1.0779,                0.88536,                      1,                  0.973,                0.68792,                  1.375,                0.63839,                 1.1279,              0.0015955,              0.0015955,              0.0015955
                     55,                 1.2562,                0.71317,                 1.0961,                0.88741,                      1,                  0.929,                0.54952,                 1.5561,                0.71193,                 1.1974,              0.0015941,              0.0015941,              0.0015941
                     56,                  1.269,                0.68775,                 1.0676,                 0.7198,                0.88889,                  0.748,                0.41993,                 1.3839,                 1.2543,                 1.1379,              0.0015927,              0.0015927,              0.0015927
                     57,                 1.2898,                0.72863,                 1.0959,                0.79805,                0.88889,                 0.8465,                0.50442,                 1.4431,                 1.1473,                 1.1467,              0.0015914,              0.0015914,              0.0015914
                     58,                 1.2753,                 0.7066,                 1.0793,                0.89077,                      1,                  0.929,                0.57526,                 1.4794,                0.64685,                 1.2051,                0.00159,                0.00159,                0.00159
                     59,                 1.2261,                0.66633,                 1.0833,                 0.8982,                      1,                  0.995,                0.64506,                 1.4344,                0.65271,                 1.1432,              0.0015886,              0.0015886,              0.0015886
                     60,                 1.2891,                0.66505,                 1.0949,                0.89985,                      1,                  0.995,                0.63616,                 1.4126,                0.67384,                 1.1403,              0.0015872,              0.0015872,              0.0015872
                     61,                 1.2222,                0.69189,                 1.0837,                0.89152,                      1,                  0.984,                 0.5964,                 1.5427,                0.64293,                 1.1762,              0.0015859,              0.0015859,              0.0015859
                     62,                 1.2143,                 0.6535,                 1.0879,                0.99303,                      1,                  0.995,                0.61991,                 1.4749,                 0.5869,                 1.1642,              0.0015845,              0.0015845,              0.0015845
                     63,                 1.2713,                0.67341,                 1.1015,                0.99138,                      1,                  0.995,                0.59908,                 1.6187,                0.57667,                 1.2963,              0.0015831,              0.0015831,              0.0015831
                     64,                  1.257,                0.66796,                 1.0998,                      1,                0.99971,                  0.995,                0.59456,                 1.5589,                0.61178,                 1.2309,              0.0015817,              0.0015817,              0.0015817
                     65,                 1.2347,                0.65913,                 1.0647,                0.89014,                      1,                  0.973,                0.57326,                 1.5049,                0.66106,                 1.1789,              0.0015804,              0.0015804,              0.0015804
                     66,                  1.237,                0.64756,                 1.0754,                0.84285,                0.88889,                0.96278,                0.55975,                 1.4788,                0.79403,                 1.1491,               0.001579,               0.001579,               0.001579
                     67,                 1.2416,                0.63581,                 1.0477,                0.88796,                      1,                  0.973,                  0.549,                 1.5259,                0.67674,                 1.2312,              0.0015776,              0.0015776,              0.0015776
                     68,                  1.231,                0.68045,                 1.0688,                 0.9431,                      1,                  0.995,                 0.6049,                    1.5,                0.65796,                 1.2211,              0.0015762,              0.0015762,              0.0015762
                     69,                 1.1821,                0.69332,                 1.0437,                0.89238,                      1,                  0.962,                 0.5403,                 1.4571,                0.62702,                 1.1721,              0.0015749,              0.0015749,              0.0015749
                     70,                 1.2015,                0.62839,                 1.0475,                0.89382,                      1,                  0.984,                0.57089,                 1.4226,                0.62937,                 1.1742,              0.0015735,              0.0015735,              0.0015735
                     71,                 1.1791,                0.62395,                 1.0508,                0.89258,                      1,                  0.973,                0.59362,                 1.2801,                0.60113,                 1.0936,              0.0015721,              0.0015721,              0.0015721
                     72,                    1.2,                0.64743,                 1.0889,                0.89821,                      1,                  0.973,                0.59873,                  1.384,                 0.6362,                 1.1767,              0.0015707,              0.0015707,              0.0015707
                     73,                 1.1817,                0.67049,                  1.075,                0.89982,                0.99816,                  0.973,                0.59843,                 1.4982,                0.62424,                 1.1913,              0.0015694,              0.0015694,              0.0015694
                     74,                 1.2185,                 0.6434,                  1.076,                0.89433,                      1,                  0.962,                 0.6077,                 1.3173,                0.60348,                 1.1804,               0.001568,               0.001568,               0.001568
                     75,                 1.2102,                0.64647,                 1.0662,                 0.8942,                      1,                  0.951,                0.67718,                 1.2281,                0.58919,                 1.0817,              0.0015666,              0.0015666,              0.0015666
                     76,                 1.2453,                0.66401,                 1.0845,                0.89163,                      1,                  0.962,                0.64525,                  1.272,                0.64774,                 1.0929,              0.0015652,              0.0015652,              0.0015652
                     77,                  1.251,                0.68909,                 1.0938,                0.89396,                      1,                  0.973,                0.65305,                 1.2658,                0.57885,                 1.0912,              0.0015639,              0.0015639,              0.0015639
                     78,                 1.2216,                0.65154,                 1.0604,                 0.8962,                      1,                  0.973,                0.62138,                  1.464,                0.59189,                 1.1518,              0.0015625,              0.0015625,              0.0015625
                     79,                 1.2734,                0.64165,                  1.098,                0.89296,                      1,                  0.951,                0.62384,                  1.295,                0.63333,                 1.0842,              0.0015611,              0.0015611,              0.0015611
