                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                 1.1206,                0.73394,                 1.0263,                0.65631,                      1,                  0.995,                0.64675,                 1.3281,                 2.5164,                 1.1866,              0.0015474,              0.0015474,              0.0015474
                     90,                 1.0591,                0.76223,                 1.0039,                0.89269,                      1,                  0.995,                0.64675,                 1.2877,                 1.3024,                 1.1422,               0.001546,               0.001546,               0.001546
                     91,                 1.0393,                0.74718,                 1.0161,                0.96902,                      1,                  0.995,                0.64675,                 1.3177,                0.80874,                 1.1715,              0.0015446,              0.0015446,              0.0015446
                     92,                 1.1028,                0.77315,                 1.0697,                0.95817,                      1,                  0.995,                  0.597,                 1.3348,                0.82765,                 1.2113,              0.0015432,              0.0015432,              0.0015432
                     93,                 1.1128,                0.71865,                 1.0162,                0.95817,                      1,                  0.995,                  0.597,                 1.3348,                0.82765,                 1.2113,              0.0015418,              0.0015418,              0.0015418
                     94,                 1.0619,                0.74734,                 1.0325,                0.95476,                      1,                  0.995,                  0.597,                 1.5844,                0.84957,                 1.3003,              0.0015405,              0.0015405,              0.0015405
                     95,                 1.1286,                0.77666,                 1.0232,                0.95825,                      1,                  0.995,                  0.597,                  1.498,                0.75022,                 1.2583,              0.0015391,              0.0015391,              0.0015391
                     96,                 1.0225,                0.69977,                0.98435,                 0.9474,                      1,                  0.995,                0.64675,                 1.4654,                0.73252,                 1.1904,              0.0015377,              0.0015377,              0.0015377
                     97,                 1.1027,                0.79228,                 1.0173,                 0.9474,                      1,                  0.995,                0.64675,                 1.4654,                0.73252,                 1.1904,              0.0015363,              0.0015363,              0.0015363
                     98,                 1.0546,                0.76491,                   1.01,                0.80706,                      1,                  0.995,                0.64675,                 1.4821,                0.79776,                  1.227,               0.001535,               0.001535,               0.001535
                     99,                 1.0924,                0.74106,                  1.031,                0.68379,                      1,                  0.995,                0.54725,                 1.5624,                0.91778,                 1.3006,              0.0015336,              0.0015336,              0.0015336
                    100,                 1.0531,                0.78483,                 1.0747,                0.58181,                      1,                  0.995,                0.54725,                 1.4928,                0.96692,                 1.2869,              0.0015322,              0.0015322,              0.0015322
                    101,                 1.0828,                0.79257,                 1.0497,                0.58181,                      1,                  0.995,                0.54725,                 1.4928,                0.96692,                 1.2869,              0.0015308,              0.0015308,              0.0015308
                    102,                 1.1062,                0.77179,                 1.0221,                0.59826,                      1,                  0.995,                0.64675,                 1.3194,                0.87126,                 1.2078,              0.0015295,              0.0015295,              0.0015295
                    103,                 1.1439,                0.78577,                 1.0299,                 0.6964,                      1,                  0.995,                 0.6965,                 1.2021,                0.78283,                 1.1483,              0.0015281,              0.0015281,              0.0015281
                    104,                 1.0761,                0.76322,                 1.0335,                0.77542,                      1,                  0.995,                 0.6965,                 1.1311,                0.74331,                 1.0974,              0.0015267,              0.0015267,              0.0015267
                    105,                 1.0992,                 0.7228,                 1.0333,                0.77542,                      1,                  0.995,                 0.6965,                 1.1311,                0.74331,                 1.0974,              0.0015253,              0.0015253,              0.0015253
                    106,                 1.1196,                0.81017,                 1.0544,                0.89207,                      1,                  0.995,                0.74625,                 1.1024,                0.71397,                 1.0846,               0.001524,               0.001524,               0.001524
                    107,                  1.082,                0.72507,                 1.0372,                0.95553,                      1,                  0.995,                0.74625,                 1.2085,                0.77526,                 1.0937,              0.0015226,              0.0015226,              0.0015226
                    108,                 1.0827,                0.77051,                 1.0328,                0.95447,                      1,                  0.995,                0.64675,                 1.4652,                0.82788,                 1.2137,              0.0015212,              0.0015212,              0.0015212
                    109,                 1.0901,                 0.7525,                 1.0493,                0.95447,                      1,                  0.995,                0.64675,                 1.4652,                0.82788,                 1.2137,              0.0015198,              0.0015198,              0.0015198
                    110,                 1.0902,                0.68975,                 1.0007,                0.94368,                      1,                  0.995,                0.54725,                 1.5633,                0.84048,                 1.3086,              0.0015185,              0.0015185,              0.0015185
                    111,                  1.106,                0.77334,                  1.027,                0.92248,                      1,                  0.995,                  0.597,                 1.5333,                0.82884,                 1.2891,              0.0015171,              0.0015171,              0.0015171
                    112,                 1.0866,                0.72315,                 1.0224,                0.93137,                      1,                  0.995,                0.64675,                 1.4169,                0.73632,                 1.2528,              0.0015157,              0.0015157,              0.0015157
                    113,                 1.0222,                0.66181,                 1.0051,                0.93137,                      1,                  0.995,                0.64675,                 1.4169,                0.73632,                 1.2528,              0.0015143,              0.0015143,              0.0015143
                    114,                  1.006,                0.68292,                  1.005,                0.94297,                      1,                  0.995,                0.64675,                 1.4873,                0.73988,                 1.2966,               0.001513,               0.001513,               0.001513
                    115,                 1.0367,                0.69062,                   1.02,                 0.9626,                      1,                  0.995,                0.64675,                 1.4911,                0.77692,                 1.3298,              0.0015116,              0.0015116,              0.0015116
                    116,                 1.0571,                0.69285,                 1.0378,                0.94439,                      1,                  0.995,                 0.6965,                 1.3806,                 0.6883,                 1.2328,              0.0015102,              0.0015102,              0.0015102
